F2020042100002549-1,2020-04-16,안양지구대
F2020042100002190-1,2020-02-07,서울서초경찰서
F2020042100002182-1,2020-02-09,서울서초경찰서
F2020042100002164-1,2020-02-09,서울서초경찰서
F2020042100002153-1,2020-01-08,화성동탄경찰서
F2020042100002135-1,2020-02-18,화성동탄경찰서
F2020042100002133-1,2020-02-19,화성동탄경찰서
F2020042100002160-1,2020-02-11,서울서초경찰서
F2020042100002156-1,2020-02-12,서울서초경찰서
F2020042100002134-1,2020-02-13,서울서초경찰서
F2020042100002126-1,2020-02-14,서울서초경찰서
F2020042100002106-1,2020-02-14,서울서초경찰서
F2020042100002092-1,2020-02-17,서울서초경찰서
F2020042100002080-1,2020-02-19,서울서초경찰서
F2020042100001967-1,2020-04-16,정읍경찰서
F2020042100002066-1,2020-02-22,서울서초경찰서
F2020042100002034-1,2020-02-24,서울서초경찰서
